start_time,end_time,duration,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,precipitation,temperature,wind_speed,weather,sunshine,season,is_holiday,is_weekend
2023-08-07 11:00:00,2023-08-07 11:00:00,696,217,Nykirkekaien,60.39705738914522,5.314548482139799,1889,Nordnes Sjøbad,60.39901997750764,5.303322069576893,0.0,15.8,5.1,4,0,1,False,False
2023-09-04 08:00:00,2023-09-04 08:00:00,446,58,Tårnplass,60.39375532002469,5.3217920958013565,87,AdO arena,60.38543124330305,5.337431780062616,0.8,15.4,4.9,46,0,1,False,False
2023-06-14 17:00:00,2023-06-14 17:00:00,200,812,Hans Hauges gate,60.40190553013225,5.324747767839426,140,Sandviksbodene,60.40569501689435,5.323373526334763,0.0,24.3,3.9,1,60,0,False,False
2023-10-05 15:00:00,2023-10-05 16:00:00,1770,808,Damsgårdsveien 71,60.38026271377996,5.323223146883635,810,Amalie Skrams vei Sør,60.408096993005785,5.325510899047174,0.0,12.8,2.6,2,33,2,False,False
2023-09-13 09:00:00,2023-09-13 10:00:00,3201,3,Grieghallen,60.38819667374428,5.328564137089416,8,Haukeland sykehus,60.373637920628255,5.35659456239955,0.0,11.1,4.8,2,60,1,False,False
2023-06-23 13:00:00,2023-06-23 13:00:00,504,220,Møllendalsplass,60.379685765470725,5.3519936304809335,34,Cornerteateret,60.38246949877819,5.32609348920866,0.0,18.4,4.8,2,60,1,False,False
2023-09-07 13:00:00,2023-09-07 13:00:00,230,819,Thormøhlens gate,60.38316244112318,5.324053067317891,214,Nygårdsporten,60.3839343833222,5.333450454511649,0.0,19.8,5.1,4,0,1,False,False
2023-10-11 06:00:00,2023-10-11 06:00:00,386,157,Florida Bybanestopp,60.382254745562825,5.3323324699108525,220,Møllendalsplass,60.379685765470725,5.3519936304809335,1.5,7.5,3.6,4,0,2,False,False
2023-08-08 20:00:00,2023-08-08 20:00:00,597,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,298,Østre Murallmenningen øvre,60.39397677863768,5.318713236118583,1.1,10.8,8.4,10,0,1,False,False
2023-10-01 13:00:00,2023-10-01 13:00:00,1497,140,Sandviksbodene,60.40569501689435,5.323373526334763,222,Sandviken Brygge,60.41294568274233,5.320870309021842,0.0,12.2,4.0,4,0,2,False,True
2023-06-28 11:00:00,2023-06-28 12:00:00,411,36,Torgallmenningen,60.39291769029913,5.323669092809325,215,Nonneseterplass,60.38967202352878,5.3336050852019525,0.0,20.2,4.3,4,60,1,False,False
2023-10-12 13:00:00,2023-10-12 14:00:00,610,75,Akvariet,60.39987652272946,5.304686307890734,83,Bergen jernbanestasjon,60.390414110522414,5.332650453823391,0.1,8.9,6.6,5,9,2,False,False
2023-06-20 14:00:00,2023-06-20 14:00:00,430,138,C. Sundts gate,60.39947506336557,5.308762204430565,36,Torgallmenningen,60.39291769029913,5.323669092809325,0.0,23.5,3.2,4,31,0,False,False
2023-06-17 19:00:00,2023-06-17 19:00:00,490,1046,Ole Vigs gate,60.385922875207626,5.321431717819451,808,Damsgårdsveien 71,60.38026271377996,5.323223146883635,0.0,19.1,3.6,2,60,0,False,True
2023-05-24 20:00:00,2023-05-24 20:00:00,135,1892,Neumanns gate II,60.39097915423838,5.320656172070585,219,Jonsvollkvartalet,60.39267683527631,5.317308285189142,0.0,10.4,4.2,4,16,0,False,False
2023-05-24 16:00:00,2023-05-24 16:00:00,210,814,Nykirken,60.396949224333255,5.313494727727743,36,Torgallmenningen,60.39291769029913,5.323669092809325,0.0,11.3,5.3,4,0,0,False,False
